1 11  39 0 
1 10011  CRU069 0 
1 27  4 0 
1 27  3 0 
1 99 0  0 
1 20 NO  0 
1 27  1 0 
1 99 0  0 
1 16  3 0 
1 16  1 0 
1 20 NO  0 
1 100005   0 
1 100006   0 
1 10000   0 
1 27  1 0 
1 99 0  0 
1 16  1 0 
1 16  0 0 
1 20 NO  0 
1 27  1 0 
1 99 0  0 
1 10000   0 
1 100005   0 
1 100006   0 
1 100005   0 
1 100006   0 
1 10011  ARC185 0 
1 27  2 0 
1 99 0  0 
1 10002 0  0 
1 99 0  0 
1 27  1 0 
1 10000   0 
1 10000   0 
1 10000   0 
1 10000   0 
1 10000   0 
1 3  10 0 
1 99   0 
1 10011  ARC185 0 
1 27  3 0 
1 16  2 0 
1 10002 0  0 
1 99 0  0 
1 3  20 0 
1 27  0 0 
1 99 0  0 
1 100005   0 
1 100006   0 
1 10011  ARC212 0 
1 27  1 0 
1 10000   0 
1 27  1 0 
